seq_id	sample	nread
LPASA1447-22	G4FG95	23
LPASA1448-22	G4FG95	14
LPASA1449-22	G4FG95	27
LPASA1450-22	G4FG95	18
LPASA1451-22	G4FG95	32
LPASA1452-22	G4FG95	27
LPASA1453-22	G4FG95	40
LPASA1454-22	G4FG95	12
LPASA1455-22	G4FG95	33
LPASA1456-22	G4FG95	37
LPASA1457-22	G4FG95	27
LPASA1458-22	G4FG95	27
LPASA1460-22	G4FG95	25
LPASA1461-22	G4FG95	33
LPASA1462-22	G4FG95	37
LPASA1463-22	G4FG95	27
LPASA1464-22	G4FG95	43
LPASA1465-22	G4FG95	24
LPASA1466-22	G4FG95	9
LPASA1467-22	G4FG95	17
LPASA1468-22	G4FG95	10
LPASA1469-22	G4FG95	18
LPASA1470-22	G4FG95	16
LPASA1471-22	G4FG95	10
LPASA1472-22	G4FG95	15
LPASA1473-22	G4FG95	21
LPASA1474-22	G4FG95	17
LPASA1475-22	G4FG95	20
LPASA1476-22	G4FG95	18
LPASA1477-22	G4FG95	34
LPASA1478-22	G4FG95	24
LPASA1479-22	G4FG95	10
LPASA1480-22	G4FG95	14
LPASA1481-22	G4FG95	4
LPASA1482-22	G4FG95	18
LPASA1483-22	G4FG95	16
LPASA1484-22	G4FG95	37
LPASA1485-22	G4FG95	4
LPASA1486-22	G4FG95	16
LPASA1487-22	G4FG95	13
LPASA1488-22	G4FG95	29
LPASA1489-22	G4FG95	19
LPASA1490-22	G4FG95	27
LPASA1492-22	G4FG95	29
LPASA1493-22	G4FG95	29
LPASA1494-22	G4FG95	20
LPASA1495-22	G4FG95	23
LPASA1496-22	G4FG95	22
LPASA1497-22	G4FG95	18
LPASA1498-22	G4FG95	20
LPASA1499-22	G4FG95	24
LPASA1500-22	G4FG95	22
LPASA1501-22	G4FG95	23
LPASA1502-22	G4FG95	35
LPASA1503-22	G4FG95	36
LPASA1504-22	G4FG95	21
LPASA1505-22	G4FG95	17
LPASA1506-22	G4FG95	36
LPASA1507-22	G4FG95	18
LPASA1508-22	G4FG95	20
LPASA1509-22	G4FG95	7
LPASA1510-22	G4FG95	10
LPASA1511-22	G4FG95	30
LPASA1512-22	G4FG95	31
LPASA1513-22	G4FG95	23
LPASA1514-22	G4FG95	19
LPASA1515-22	G4FG95	31
LPASA1516-22	G4FG95	22
LPASA1517-22	G4FG95	20
