seqrun	sample	neg_control	cut_R2	fastq_R1	fastq_R2
BIONAME_LifePlan_batch1_2023_L002	SEGFB1_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEGFB1_S2005_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEGFB1_S2005_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEGTXE_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEGTXE_S2240_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEGTXE_S2240_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEJCDT_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEJCDT_S2326_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEJCDT_S2326_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEKBKD_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEKBKD_S1781_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEKBKD_S1781_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEMM22_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEMM22_S1676_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEMM22_S1676_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEMPBD_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEMPBD_S2723_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEMPBD_S2723_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEMSE5_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEMSE5_S2303_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEMSE5_S2303_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEO16A_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEO16A_S2170_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEO16A_S2170_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEOYS3_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEOYS3_S2441_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEOYS3_S2441_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEP3GJ_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEP3GJ_S2299_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEP3GJ_S2299_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SERSOA_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SERSOA_S2528_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SERSOA_S2528_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SERYBX_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SERYBX_S2166_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SERYBX_S2166_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SETXYJ_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SETXYJ_S2570_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SETXYJ_S2570_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEU92Z_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEU92Z_S2098_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEU92Z_S2098_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEW68M_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEW68M_S1727_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEW68M_S1727_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEWGEY_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEWGEY_S2425_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEWGEY_S2425_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEWNO6_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEWNO6_S2301_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEWNO6_S2301_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEXDC4_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEXDC4_S2135_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEXDC4_S2135_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SEYMXM_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEYMXM_S1740_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SEYMXM_S1740_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF1EJG_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF1EJG_S1800_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF1EJG_S1800_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF1LTP_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF1LTP_S2126_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF1LTP_S2126_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF296C_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF296C_S2576_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF296C_S2576_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF2DLB_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF2DLB_S2109_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF2DLB_S2109_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF3P7R_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF3P7R_S2171_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF3P7R_S2171_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF417E_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF417E_S1742_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF417E_S1742_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF4F1C_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF4F1C_S2484_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF4F1C_S2484_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF4TZ1_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF4TZ1_S2094_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF4TZ1_S2094_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF4XKP_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF4XKP_S2313_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF4XKP_S2313_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF5R5P_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF5R5P_S1759_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF5R5P_S1759_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF7WFU_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF7WFU_S2128_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF7WFU_S2128_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF8L4R_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF8L4R_S2248_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF8L4R_S2248_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF8MZY_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF8MZY_S2511_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF8MZY_S2511_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF93O1_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF93O1_S1755_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF93O1_S1755_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF9RKK_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF9RKK_S2345_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF9RKK_S2345_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SF9TFS_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF9TFS_S2309_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SF9TFS_S2309_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SFAZTS_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SFAZTS_S1813_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SFAZTS_S1813_L002_R2_001.fastq.gz
